InstitutionName,InstitutionLabel,Country,CountryCode,ConsortiaCode,MemberType,sId,rorId,isConsortium,Institution,salsaId,orgId,Comment,TP,FP,FN,TN
CSIC - Centro de Investigaciones Biológicas Margarita Salas (CIB),CSIC - Centro de Investigaciones Biológicas Margarita Salas (CIB),Spain,ES,CSIC,member,494,https://ror.org/04advdf21,0,CSIC - Centro de Investigaciones Biológicas Margarita Salas (CIB),,60009305,,0,0,0,2000
CSIC - Centro de investigacion en Nanomateriales y Nanotecnologia (CINN),CSIC - Centro de investigacion en Nanomateriales y Nanotecnologia (CINN),Spain,ES,CSIC,member,495,https://ror.org/03ppnws78,0,CSIC - Centro de investigacion en Nanomateriales y Nanotecnologia (CINN),,60103741,,1,0,0,1999
CSIC - Estación Experimental La Mayora (EELM),CSIC - Estación Experimental La Mayora (EELM),Spain,ES,CSIC,member,496,,0,CSIC - Estación Experimental La Mayora (EELM),,60003431,,0,0,0,0
CSIC - Estación Experimental de Zonas Áridas (EEZA),CSIC - Estación Experimental de Zonas Áridas (EEZA),Spain,ES,CSIC,member,497,https://ror.org/01hq59z49,0,CSIC - Estación Experimental de Zonas Áridas (EEZA),,60000161,,0,0,0,2000
CSIC - Geociencias Barcelona (GEO3BCN),CSIC - Geociencias Barcelona (GEO3BCN),Spain,ES,CSIC,member,498,https://ror.org/01nsd7y51,0,CSIC - Geociencias Barcelona (GEO3BCN),,60029205,,0,0,0,2000
CSIC - Institut d'Anàlisi Econòmica (IAE),CSIC - Institut d'Anàlisi Econòmica (IAE),Spain,ES,CSIC,member,499,https://ror.org/02pfge856,0,CSIC - Institut d'Anàlisi Econòmica (IAE),,60017553,,0,0,0,2000
CSIC - Institut de Ciència de Materials de Barcelona (ICMAB),CSIC - Institut de Ciència de Materials de Barcelona (ICMAB),Spain,ES,CSIC,member,500,https://ror.org/03hasqf61,0,CSIC - Institut de Ciència de Materials de Barcelona (ICMAB),,60024288,,0,0,0,2000
CSIC - Instituto Cajal (IC),CSIC - Instituto Cajal (IC),Spain,ES,CSIC,member,501,https://ror.org/012gwbh42,0,CSIC - Instituto Cajal (IC),,60022146,,0,0,0,2000
CSIC - Instituto de Biologia Molecular y Celular de Plantas Primo Yufera,CSIC - Instituto de Biologia Molecular y Celular de Plantas Primo Yufera,Spain,ES,CSIC,member,502,https://ror.org/04zdays56,0,CSIC - Instituto de Biologia Molecular y Celular de Plantas Primo Yufera,,60001204,,0,0,0,2000
CSIC - Instituto de Biología Integrativa de Sistemas,CSIC - Instituto de Biología Integrativa de Sistemas,Spain,ES,CSIC,member,503,https://ror.org/05jw4kp39,0,CSIC - Instituto de Biología Integrativa de Sistemas,,60116454,,0,0,0,2000
CSIC - Instituto de Carboquímica (ICB),CSIC - Instituto de Carboquímica (ICB),Spain,ES,CSIC,member,504,https://ror.org/05dsysc59,0,CSIC - Instituto de Carboquímica (ICB),,60010916,,0,0,0,2000
CSIC - Instituto de Catálisis y Petroleoquímica (ICP),CSIC - Instituto de Catálisis y Petroleoquímica (ICP),Spain,ES,CSIC,member,505,https://ror.org/004swtw80,0,CSIC - Instituto de Catálisis y Petroleoquímica (ICP),,60021246,,0,0,0,2000
CSIC - Instituto de Cerámica y Vidrio (ICV),CSIC - Instituto de Cerámica y Vidrio (ICV),Spain,ES,CSIC,member,506,https://ror.org/02h7vfp25,0,CSIC - Instituto de Cerámica y Vidrio (ICV),,60011966,,0,0,0,2000
CSIC - Instituto de Ciencia de Materiales de Madrid (ICMM),CSIC - Instituto de Ciencia de Materiales de Madrid (ICMM),Spain,ES,CSIC,member,507,https://ror.org/02qqy8j09,0,CSIC - Instituto de Ciencia de Materiales de Madrid (ICMM),,60006424,,0,0,0,2000
CSIC - Instituto de Ciencias Marinas de Andalucia (ICMAN),CSIC - Instituto de Ciencias Marinas de Andalucia (ICMAN),Spain,ES,CSIC,member,508,https://ror.org/04qayn356,0,CSIC - Instituto de Ciencias Marinas de Andalucia (ICMAN),,60009410,,0,0,0,2000
CSIC - Instituto de Ciencias del Espacio (ICE),CSIC - Instituto de Ciencias del Espacio (ICE),Spain,ES,CSIC,member,509,https://ror.org/01vbgty78,0,CSIC - Instituto de Ciencias del Espacio (ICE),,60103733,,1,1,0,1998
CSIC - Instituto de Ciencias del Mar (ICM),CSIC - Instituto de Ciencias del Mar (ICM),Spain,ES,CSIC,member,510,https://ror.org/05ect0289,0,CSIC - Instituto de Ciencias del Mar (ICM),,60007870,,0,0,0,2000
CSIC - Instituto de Ciencias del Patrimonio (INCIPIT),CSIC - Instituto de Ciencias del Patrimonio (INCIPIT),Spain,ES,CSIC,member,511,https://ror.org/03fz4fp45,0,CSIC - Instituto de Ciencias del Patrimonio (INCIPIT),,60104356,,0,0,0,2000
CSIC - Instituto de Diagnóstico Ambiental y Estudios del Agua (IDAEA),CSIC - Instituto de Diagnóstico Ambiental y Estudios del Agua (IDAEA),Spain,ES,CSIC,member,512,https://ror.org/056yktd04,0,CSIC - Instituto de Diagnóstico Ambiental y Estudios del Agua (IDAEA),,60103754,,0,0,0,2000
CSIC - Instituto de Estructura de la Materia (IEM),CSIC - Instituto de Estructura de la Materia (IEM),Spain,ES,CSIC,member,513,https://ror.org/05rtchs68,0,CSIC - Instituto de Estructura de la Materia (IEM),,60000580,,0,0,0,2000
CSIC - Instituto de Fisica Fundamental (IFF),CSIC - Instituto de Fisica Fundamental (IFF),Spain,ES,CSIC,member,514,https://ror.org/009wseg80,0,CSIC - Instituto de Fisica Fundamental (IFF),,60004127,,0,0,0,2000
CSIC - Instituto de Investigacion en Inteligencia Artificial (IIIA),CSIC - Instituto de Investigacion en Inteligencia Artificial (IIIA),Spain,ES,CSIC,member,515,https://ror.org/03c0ach84,0,CSIC - Instituto de Investigacion en Inteligencia Artificial (IIIA),,60019058,,0,1,0,1999
CSIC - Instituto de Investigaciones Marinas (IIM),CSIC - Instituto de Investigaciones Marinas (IIM),Spain,ES,CSIC,member,516,https://ror.org/05pnwvj86,0,CSIC - Instituto de Investigaciones Marinas (IIM),,60015192,,0,0,0,2000
CSIC - Instituto de Microelectronica de Barcelona (IMB-CNM),CSIC - Instituto de Microelectronica de Barcelona (IMB-CNM),Spain,ES,CSIC,member,517,https://ror.org/04pnym676,0,CSIC - Instituto de Microelectronica de Barcelona (IMB-CNM),,60103765,,0,1,0,1999
CSIC - Instituto de Química Avanzada de Cataluña (IQAC),CSIC - Instituto de Química Avanzada de Cataluña (IQAC),Spain,ES,CSIC,member,518,https://ror.org/03srn9y98,0,CSIC - Instituto de Química Avanzada de Cataluña (IQAC),,60103742,,0,0,0,2000
CSIC - Instituto de Química Física Rocasolano (IQFR),CSIC - Instituto de Química Física Rocasolano (IQFR),Spain,ES,CSIC,member,519,https://ror.org/03xk60j79,0,CSIC - Instituto de Química Física Rocasolano (IQFR),,60007643,,0,0,0,2000
CSIC - Instituto de Química Orgánica General IQOG,CSIC - Instituto de Química Orgánica General IQOG,Spain,ES,CSIC,member,520,https://ror.org/05e0q7s59,0,CSIC - Instituto de Química Orgánica General IQOG,,60007831,,0,0,0,2000
CSIC - Instituto de Tecnologías Físicas y de la Información Leonardo Torres Quevedo (ITEFI),CSIC - Instituto de Tecnologías Físicas y de la Información Leonardo Torres Quevedo (ITEFI),Spain,ES,CSIC,member,521,https://ror.org/00zsy6110,0,CSIC - Instituto de Tecnologías Físicas y de la Información Leonardo Torres Quevedo (ITEFI),,60119988,,0,0,0,2000
CSIC - Instituto de Óptica Daza de Valdés; (IO-CSIC),CSIC - Instituto de Óptica Daza de Valdés; (IO-CSIC),Spain,ES,CSIC,member,522,https://ror.org/002zef647,0,CSIC - Instituto de Óptica Daza de Valdés; (IO-CSIC),,60010396,,0,0,0,2000
CSIC UPV Centro de Fisica de Materials CFM,CSIC UPV Centro de Fisica de Materials CFM,Spain,ES,CSIC,member,523,https://ror.org/02hpa6m94,0,CSIC UPV Centro de Fisica de Materials CFM,,60103735,,0,0,0,2000
CSIC- Estación Biológica de Doñana EBD,CSIC- Estación Biológica de Doñana EBD,Spain,ES,CSIC,member,524,https://ror.org/006gw6z14,0,CSIC- Estación Biológica de Doñana EBD,,60006627,,0,0,0,2000
CSIC-GV-UV - Centre d'Investigacions sobre Desertificació,CSIC-GV-UV - Centre d'Investigacions sobre Desertificació,Spain,ES,CSIC,member,525,https://ror.org/01a631g06,0,CSIC-GV-UV - Centre d'Investigacions sobre Desertificació,,60103731,,0,0,0,2000
CSIC-JA-USE - Centro Nacional de Aceleradores,CSIC-JA-USE - Centro Nacional de Aceleradores,Spain,ES,CSIC,member,526,https://ror.org/00r1wwd23,0,CSIC-JA-USE - Centro Nacional de Aceleradores,,60033101,,0,0,0,2000
CSIC-JA-USE - Instituto de Biomedicina de Sevilla,CSIC-JA-USE - Instituto de Biomedicina de Sevilla,Spain,ES,CSIC,member,527,https://ror.org/031zwx660,0,CSIC-JA-USE - Instituto de Biomedicina de Sevilla,,60103764,,0,0,0,2000
CSIC-UAM - Centro de Biología Molecular Severo Ochoa (CBM),CSIC-UAM - Centro de Biología Molecular Severo Ochoa (CBM),Spain,ES,CSIC,member,528,https://ror.org/03v9e8t09,0,CSIC-UAM - Centro de Biología Molecular Severo Ochoa (CBM),,60018505,,0,0,0,2000
CSIC-UAM - Instituto de Física Teórica (IFT),CSIC-UAM - Instituto de Física Teórica (IFT),Spain,ES,CSIC,member,529,https://ror.org/022r8mj40,0,CSIC-UAM - Instituto de Física Teórica (IFT),,60032795,,0,0,0,2000
CSIC-UAM - Instituto de Investigaciones Biomédicas Sols-Morreale (IIBM),CSIC-UAM - Instituto de Investigaciones Biomédicas Sols-Morreale (IIBM),Spain,ES,CSIC,member,530,https://ror.org/00ha1f767,0,CSIC-UAM - Instituto de Investigaciones Biomédicas Sols-Morreale (IIBM),,60009196,,0,0,0,2000
CSIC-UAM-UC3M-UCM - Instituto de Ciencias Matemáticas (ICMAT),CSIC-UAM-UC3M-UCM - Instituto de Ciencias Matemáticas (ICMAT),Spain,ES,CSIC,member,531,https://ror.org/05e9bn444,0,CSIC-UAM-UC3M-UCM - Instituto de Ciencias Matemáticas (ICMAT),,60103759,,0,1,0,1999
CSIC-UC - Instituto de Física de Cantabria (IFCA),CSIC-UC - Instituto de Física de Cantabria (IFCA),Spain,ES,CSIC,member,532,https://ror.org/040kx1j83,0,CSIC-UC - Instituto de Física de Cantabria (IFCA),,60003879,,0,0,0,2000
CSIC-UCM - Instituto de Geociencias (IGEO),CSIC-UCM - Instituto de Geociencias (IGEO),Spain,ES,CSIC,member,533,https://ror.org/04qan0m84,0,CSIC-UCM - Instituto de Geociencias (IGEO),,60104357,,0,0,0,2000
CSIC-UGR - Instituto Andaluz de Ciencias de la Tierra (IACT),CSIC-UGR - Instituto Andaluz de Ciencias de la Tierra (IACT),Spain,ES,CSIC,member,534,https://ror.org/00v0g9w49,0,CSIC-UGR - Instituto Andaluz de Ciencias de la Tierra (IACT),,60030188,,0,0,0,2000
CSIC-UIB - Instituto Mediterraneo de Estudios Avanzados (IMEDEA),CSIC-UIB - Instituto Mediterraneo de Estudios Avanzados (IMEDEA),Spain,ES,CSIC,member,535,https://ror.org/02e9dby02,0,CSIC-UIB - Instituto Mediterraneo de Estudios Avanzados (IMEDEA),,60017294,,0,0,0,2000
CSIC-UIB - Instituto de Fisica Interdisciplinar y Sistemas Complejos (IFISC),CSIC-UIB - Instituto de Fisica Interdisciplinar y Sistemas Complejos (IFISC),Spain,ES,CSIC,member,536,https://ror.org/00pfxsh56,0,CSIC-UIB - Instituto de Fisica Interdisciplinar y Sistemas Complejos (IFISC),,60086942,,0,0,0,2000
